event_type,product_id,brand,price,user_id,user_session,target,cat_0,cat_1,cat_2,cat_3,timestamp,ts_hour,ts_minute,ts_weekday,ts_day,ts_month,ts_year,source,prev_purchase_time,first_purchase_time,prior_purchase_count,purchase_source,purchase_time,purchase_cat_0,purchase_user_id,p_purchase_recency,p_purchase_value,p_purchase_count,p_purchase_products,p_purchase_cat_0,p_purchase_brands,p_purchase_frequency,p_purchase_count_construction,p_purchase_count_auto,p_purchase_count_stationery,p_purchase_count_furniture,p_purchase_count_sport,p_purchase_count_kids,p_purchase_count_medicine,p_purchase_count_electronics,p_purchase_count_computers,p_purchase_count_appliances,p_purchase_count_accessories,p_purchase_count_country_yard,p_purchase_count_apparel,cart_recency,cart_value,cart_count,cart_products,cart_cat_0,cart_brands,cart_count_construction,cart_count_auto,cart_count_stationery,cart_count_furniture,cart_count_sport,cart_count_kids,cart_count_medicine,cart_count_electronics,cart_count_computers,cart_count_appliances,cart_count_accessories,cart_count_country_yard,cart_count_apparel
purchase,100208796,dizzy,0.56,513337635,7e95cdd3-3b3a-4be8-a3dc-d521fe1f4d5c,1,,,,,2020-04-23T15:43:12.000000+0000,15,43,3,23,4,2020,test,2020-04-22T17:40:41.000000+0000,2019-10-26T08:45:07.000000+0000,9,test,2020-04-23T15:43:12.000000+0000,,513337635,0,157.22,9,,,,22,0,1,0,2,0,0,0,1,0,1,0,0,1,0,141351.0,1590,134,10,69,130,0,0,85,185,5,0,105,60,220,100,0,120
purchase,100208093,coca-cola,0.85,513337635,7e95cdd3-3b3a-4be8-a3dc-d521fe1f4d5c,1,sport,tennis,,,2020-04-23T15:43:12.000000+0000,15,43,3,23,4,2020,test,2020-04-23T15:43:12.000000+0000,2019-10-26T08:45:07.000000+0000,10,test,2020-04-23T15:43:12.000000+0000,sport,513337635,0,157.78,10,,,,20,,,,,,,,,,,,,,0,141351.0,1590,134,10,69,130,0,0,85,185,5,0,105,60,220,100,0,120
purchase,100213214,tess,1.16,513337635,7e95cdd3-3b3a-4be8-a3dc-d521fe1f4d5c,1,,,,,2020-04-23T15:43:12.000000+0000,15,43,3,23,4,2020,test,2020-04-23T15:43:12.000000+0000,2019-10-26T08:45:07.000000+0000,11,test,2020-04-23T15:43:12.000000+0000,,513337635,0,158.63,11,,,,18,0,1,0,2,1,0,0,1,0,1,0,0,1,0,141351.0,1590,134,10,69,130,0,0,85,185,5,0,105,60,220,100,0,120
purchase,100212815,,1.79,513337635,7e95cdd3-3b3a-4be8-a3dc-d521fe1f4d5c,1,apparel,shoes,,,2020-04-23T15:43:12.000000+0000,15,43,3,23,4,2020,test,2020-04-23T15:43:12.000000+0000,2019-10-26T08:45:07.000000+0000,12,test,2020-04-23T15:43:12.000000+0000,apparel,513337635,0,159.79,12,,,,16,,,,,,,,,,,,,,0,141351.0,1590,134,10,69,130,0,0,85,185,5,0,105,60,220,100,0,120
purchase,100211003,,0.28,513337635,7e95cdd3-3b3a-4be8-a3dc-d521fe1f4d5c,1,,,,,2020-04-23T15:43:12.000000+0000,15,43,3,23,4,2020,test,2020-04-23T15:43:12.000000+0000,2019-10-26T08:45:07.000000+0000,13,test,2020-04-23T15:43:12.000000+0000,,513337635,0,161.57999999999998,13,,,,15,0,1,0,2,1,0,0,1,0,1,0,0,2,0,141351.0,1590,134,10,69,130,0,0,85,185,5,0,105,60,220,100,0,120
purchase,100208796,dizzy,0.56,513337635,7e95cdd3-3b3a-4be8-a3dc-d521fe1f4d5c,1,,,,,2020-04-23T15:43:12.000000+0000,15,43,3,23,4,2020,test,2020-04-22T17:40:41.000000+0000,2019-10-26T08:45:07.000000+0000,9,test,2020-04-23T15:43:12.000000+0000,,513337635,0,157.22,9,,,,22,0,1,0,2,0,0,0,1,0,1,0,0,1,0,141351.0,1590,134,10,69,130,0,0,85,185,5,0,105,60,220,100,0,120
purchase,100208093,coca-cola,0.85,513337635,7e95cdd3-3b3a-4be8-a3dc-d521fe1f4d5c,1,sport,tennis,,,2020-04-23T15:43:12.000000+0000,15,43,3,23,4,2020,test,2020-04-23T15:43:12.000000+0000,2019-10-26T08:45:07.000000+0000,10,test,2020-04-23T15:43:12.000000+0000,sport,513337635,0,157.78,10,,,,20,,,,,,,,,,,,,,0,141351.0,1590,134,10,69,130,0,0,85,185,5,0,105,60,220,100,0,120
purchase,100213214,tess,1.16,513337635,7e95cdd3-3b3a-4be8-a3dc-d521fe1f4d5c,1,,,,,2020-04-23T15:43:12.000000+0000,15,43,3,23,4,2020,test,2020-04-23T15:43:12.000000+0000,2019-10-26T08:45:07.000000+0000,11,test,2020-04-23T15:43:12.000000+0000,,513337635,0,158.63,11,,,,18,0,1,0,2,1,0,0,1,0,1,0,0,1,0,141351.0,1590,134,10,69,130,0,0,85,185,5,0,105,60,220,100,0,120
purchase,100212815,,1.79,513337635,7e95cdd3-3b3a-4be8-a3dc-d521fe1f4d5c,1,apparel,shoes,,,2020-04-23T15:43:12.000000+0000,15,43,3,23,4,2020,test,2020-04-23T15:43:12.000000+0000,2019-10-26T08:45:07.000000+0000,12,test,2020-04-23T15:43:12.000000+0000,apparel,513337635,0,159.79,12,,,,16,,,,,,,,,,,,,,0,141351.0,1590,134,10,69,130,0,0,85,185,5,0,105,60,220,100,0,120
purchase,100211003,,0.28,513337635,7e95cdd3-3b3a-4be8-a3dc-d521fe1f4d5c,1,,,,,2020-04-23T15:43:12.000000+0000,15,43,3,23,4,2020,test,2020-04-23T15:43:12.000000+0000,2019-10-26T08:45:07.000000+0000,13,test,2020-04-23T15:43:12.000000+0000,,513337635,0,161.57999999999998,13,,,,15,0,1,0,2,1,0,0,1,0,1,0,0,2,0,141351.0,1590,134,10,69,130,0,0,85,185,5,0,105,60,220,100,0,120
purchase,100208796,dizzy,0.56,513337635,7e95cdd3-3b3a-4be8-a3dc-d521fe1f4d5c,1,,,,,2020-04-23T15:43:12.000000+0000,15,43,3,23,4,2020,test,2020-04-22T17:40:41.000000+0000,2019-10-26T08:45:07.000000+0000,9,test,2020-04-23T15:43:12.000000+0000,,513337635,0,157.22,9,,,,22,0,1,0,2,0,0,0,1,0,1,0,0,1,0,141351.0,1590,134,10,69,130,0,0,85,185,5,0,105,60,220,100,0,120
purchase,100208093,coca-cola,0.85,513337635,7e95cdd3-3b3a-4be8-a3dc-d521fe1f4d5c,1,sport,tennis,,,2020-04-23T15:43:12.000000+0000,15,43,3,23,4,2020,test,2020-04-23T15:43:12.000000+0000,2019-10-26T08:45:07.000000+0000,10,test,2020-04-23T15:43:12.000000+0000,sport,513337635,0,157.78,10,,,,20,,,,,,,,,,,,,,0,141351.0,1590,134,10,69,130,0,0,85,185,5,0,105,60,220,100,0,120
purchase,100213214,tess,1.16,513337635,7e95cdd3-3b3a-4be8-a3dc-d521fe1f4d5c,1,,,,,2020-04-23T15:43:12.000000+0000,15,43,3,23,4,2020,test,2020-04-23T15:43:12.000000+0000,2019-10-26T08:45:07.000000+0000,11,test,2020-04-23T15:43:12.000000+0000,,513337635,0,158.63,11,,,,18,0,1,0,2,1,0,0,1,0,1,0,0,1,0,141351.0,1590,134,10,69,130,0,0,85,185,5,0,105,60,220,100,0,120
purchase,100212815,,1.79,513337635,7e95cdd3-3b3a-4be8-a3dc-d521fe1f4d5c,1,apparel,shoes,,,2020-04-23T15:43:12.000000+0000,15,43,3,23,4,2020,test,2020-04-23T15:43:12.000000+0000,2019-10-26T08:45:07.000000+0000,12,test,2020-04-23T15:43:12.000000+0000,apparel,513337635,0,159.79,12,,,,16,,,,,,,,,,,,,,0,141351.0,1590,134,10,69,130,0,0,85,185,5,0,105,60,220,100,0,120
purchase,100211003,,0.28,513337635,7e95cdd3-3b3a-4be8-a3dc-d521fe1f4d5c,1,,,,,2020-04-23T15:43:12.000000+0000,15,43,3,23,4,2020,test,2020-04-23T15:43:12.000000+0000,2019-10-26T08:45:07.000000+0000,13,test,2020-04-23T15:43:12.000000+0000,,513337635,0,161.57999999999998,13,,,,15,0,1,0,2,1,0,0,1,0,1,0,0,2,0,141351.0,1590,134,10,69,130,0,0,85,185,5,0,105,60,220,100,0,120
purchase,100208796,dizzy,0.56,513337635,7e95cdd3-3b3a-4be8-a3dc-d521fe1f4d5c,1,,,,,2020-04-23T15:43:12.000000+0000,15,43,3,23,4,2020,test,2020-04-22T17:40:41.000000+0000,2019-10-26T08:45:07.000000+0000,9,test,2020-04-23T15:43:12.000000+0000,,513337635,0,157.22,9,,,,22,0,1,0,2,0,0,0,1,0,1,0,0,1,0,141351.0,1590,134,10,69,130,0,0,85,185,5,0,105,60,220,100,0,120
